lambda    f             f_err
  0      -0.000415     0.000011
  1      -7.790322     0.028346
  2      -14.145167     0.045833
  3      -16.988597     0.069926
  4      -18.982890     0.056515
  5      -20.482301     0.073551
  6      -21.069742     0.079438
  7      -18.134929     0.164449
  8      -15.529023     0.163445
