lambda    f             f_err
  0      -0.000308     0.168291
  1      -8.089298     0.125896
  2      -14.354151     0.183719
  3      -17.366268     0.188660
  4      -19.404357     0.206270
  5      -20.749953     0.233207
  6      -21.101823     0.257679
  7      -18.310800     0.319780
  8      -15.460504     0.338602
