lambda    f             f_err
  0      -0.000350     0.000011
  1      -7.959230     0.032051
  2      -14.342157     0.046338
  3      -17.368236     nan
  4      -19.161846     nan
  5      -20.520514     nan
  6      -20.888185     nan
  7      -17.977558     nan
  8      -15.495483     0.113989
