lambda    f             f_err
  0      -0.000345     0.026254
  1      -7.975071     0.023052
  2      -14.365145     0.027415
  3      -17.413586     0.033928
  4      -19.239003     0.035424
  5      -20.575578     0.033920
  6      -20.923447     0.035755
  7      -18.006278     0.051431
  8      -15.513191     0.053060
