lambda    f             f_err
  0      -0.000345     0.011629
  1      -7.975071     0.012411
  2      -14.365145     0.013994
  3      -17.413586     0.016196
  4      -19.239003     0.015282
  5      -20.575578     0.015546
  6      -20.923447     0.017319
  7      -18.006278     0.016830
  8      -15.513191     0.017405
