lambda    f             f_err
  0      -0.000345     0.017777
  1      -7.975071     0.029692
  2      -14.365145     0.026170
  3      -17.413586     0.034878
  4      -19.239003     0.037307
  5      -20.575578     0.026337
  6      -20.923447     0.033628
  7      -18.006278     0.030732
  8      -15.513191     0.030485
